round,case,method,milliseconds
1,286,Indexed,0.773906707763672
1,286,Original,2.15506553649902
2,21,Original,2.11596488952637
2,21,Indexed,0.600099563598633
1,314,Original,2.10809707641602
1,314,Indexed,0.62108039855957
4,598,Original,2.04682350158691
4,598,Indexed,0.585079193115234
1,70,Indexed,0.669002532958984
1,70,Original,2.06184387207031
1,169,Original,1.91593170166016
1,169,Indexed,0.664949417114258
3,484,Original,1.98483467102051
3,484,Indexed,0.696897506713867
1,339,Indexed,0.610113143920898
1,339,Original,1.9841194152832
3,52,Original,2.02512741088867
3,52,Indexed,0.550985336303711
3,295,Indexed,0.602960586547852
3,295,Original,2.01702117919922
1,121,Indexed,0.59199333190918
1,121,Original,4.87494468688965
1,64,Indexed,0.929117202758789
1,64,Original,2.21896171569824
3,416,Original,2.12597846984863
3,416,Indexed,0.61488151550293
3,134,Indexed,0.600099563598633
3,134,Original,2.06303596496582
4,315,Indexed,0.604867935180664
4,315,Original,2.03609466552734
1,419,Original,1.99413299560547
1,419,Indexed,0.567913055419922
5,442,Original,1.9528865814209
5,442,Indexed,0.674962997436523
5,103,Original,1.96099281311035
5,103,Indexed,0.616073608398438
1,417,Original,2.01296806335449
1,417,Indexed,0.572919845581055
2,331,Original,1.91712379455566
2,331,Indexed,0.561952590942383
1,57,Indexed,0.572919845581055
1,57,Original,1.94311141967773
5,261,Original,1.93381309509277
5,261,Indexed,0.585079193115234
3,113,Indexed,0.551939010620117
3,113,Original,2.06398963928223
1,388,Original,4.44197654724121
1,388,Indexed,0.794172286987305
1,519,Indexed,0.916957855224609
1,519,Original,2.20298767089844
3,397,Original,2.05016136169434
3,397,Indexed,0.597000122070313
3,425,Indexed,0.607967376708984
3,425,Original,2.01988220214844
3,24,Indexed,0.591039657592773
3,24,Original,1.99699401855469
2,52,Original,1.91712379455566
2,52,Indexed,0.564098358154297
4,369,Indexed,0.551939010620117
4,369,Original,1.91211700439453
1,505,Original,1.89709663391113
1,505,Indexed,0.549077987670898
4,46,Indexed,0.576972961425781
4,46,Original,1.89900398254395
4,116,Original,1.85298919677734
4,116,Indexed,0.637054443359375
3,552,Indexed,0.560998916625977
3,552,Original,1.90305709838867
1,356,Indexed,0.565052032470703
1,356,Original,1.89900398254395
2,24,Original,1.87897682189941
2,24,Indexed,0.558853149414063
3,491,Original,4.48989868164063
3,491,Indexed,0.856161117553711
3,60,Original,2.47406959533691
3,60,Indexed,0.613927841186523
1,78,Indexed,0.637054443359375
1,78,Original,2.02703475952148
1,229,Indexed,0.597953796386719
1,229,Original,2.03704833984375
5,568,Indexed,0.576019287109375
5,568,Original,1.97100639343262
4,473,Original,1.87182426452637
4,473,Indexed,0.557899475097656
1,552,Original,2.04682350158691
1,552,Indexed,0.566959381103516
1,557,Original,1.89709663391113
1,557,Indexed,0.5950927734375
5,496,Original,1.83796882629395
5,496,Indexed,0.551939010620117
4,339,Indexed,0.551223754882813
4,339,Original,1.85203552246094
5,415,Original,1.83391571044922
5,415,Indexed,0.620126724243164
3,61,Indexed,0.572919845581055
3,61,Original,1.93595886230469
3,426,Indexed,0.639915466308594
3,426,Original,2.1660327911377
4,309,Indexed,0.5950927734375
4,309,Original,5.12790679931641
1,355,Original,2.38513946533203
1,355,Indexed,0.615119934082031
5,121,Indexed,0.593900680541992
5,121,Original,2.1970272064209
4,87,Original,2.04110145568848
4,87,Indexed,0.581979751586914
2,591,Original,2.01916694641113
2,591,Indexed,0.601053237915039
4,295,Original,1.94096565246582
4,295,Indexed,0.565052032470703
2,512,Original,1.89900398254395
2,512,Indexed,0.566005706787109
1,315,Original,1.86586380004883
1,315,Indexed,0.576019287109375
2,147,Indexed,0.576972961425781
2,147,Original,1.87397003173828
5,92,Original,1.87397003173828
5,92,Indexed,0.566005706787109
1,338,Indexed,0.558853149414063
1,338,Original,1.88612937927246
2,597,Original,1.91307067871094
2,597,Indexed,0.553131103515625
5,436,Indexed,0.550985336303711
5,436,Original,1.9228458404541
4,292,Original,4.73093986511231
4,292,Indexed,0.941038131713867
4,47,Original,2.14910507202148
4,47,Indexed,0.603914260864258
2,570,Indexed,0.595808029174805
2,570,Original,2.03394889831543
5,437,Indexed,0.593900680541992
5,437,Original,1.97887420654297
5,99,Original,2.0289421081543
5,99,Indexed,0.609874725341797
4,84,Indexed,0.545024871826172
4,84,Original,1.83916091918945
4,161,Indexed,0.576972961425781
4,161,Original,1.90591812133789
1,139,Indexed,0.573873519897461
1,139,Original,1.8620491027832
4,357,Original,1.84512138366699
4,357,Indexed,0.56910514831543
4,118,Original,1.91402435302734
4,118,Indexed,0.547170639038086
5,140,Indexed,0.646114349365234
5,140,Original,1.90114974975586
4,231,Indexed,0.560998916625977
4,231,Original,1.86896324157715
1,39,Original,1.86395645141602
1,39,Indexed,0.575065612792969
2,528,Original,5.06114959716797
2,528,Indexed,0.91099739074707
1,226,Indexed,0.749826431274414
1,226,Original,2.36392021179199
5,194,Indexed,0.663995742797852
5,194,Original,2.09498405456543
5,331,Original,2.06589698791504
5,331,Indexed,0.59199333190918
1,147,Indexed,0.598907470703125
1,147,Original,1.99699401855469
5,230,Original,1.87802314758301
5,230,Indexed,0.565052032470703
4,452,Original,2.24518775939941
4,452,Indexed,0.575065612792969
4,154,Original,1.8458366394043
4,154,Indexed,0.638008117675781
3,309,Indexed,0.565052032470703
3,309,Original,1.8761157989502
3,375,Indexed,0.555038452148438
3,375,Original,1.85799598693848
1,62,Indexed,0.580072402954102
1,62,Original,1.90591812133789
5,398,Indexed,0.59199333190918
5,398,Original,1.93691253662109
3,109,Indexed,0.627994537353516
3,109,Original,7.3549747467041
4,352,Original,3.1280517578125
4,352,Indexed,0.671863555908203
4,336,Indexed,0.597953796386719
4,336,Original,2.10285186767578
2,91,Original,2.16293334960938
2,91,Indexed,0.600814819335938
4,506,Original,2.00390815734863
4,506,Indexed,0.697135925292969
1,73,Indexed,0.612020492553711
1,73,Original,2.00486183166504
4,289,Indexed,0.605106353759766
4,289,Original,1.98101997375488
4,134,Indexed,0.558137893676758
4,134,Original,1.92379951477051
2,468,Indexed,0.55384635925293
2,468,Original,1.8610954284668
5,535,Original,1.91998481750488
5,535,Indexed,0.569820404052734
3,284,Original,1.85799598693848
3,284,Indexed,0.555992126464844
1,18,Original,1.94382667541504
1,18,Indexed,0.601053237915039
5,297,Indexed,0.550031661987305
5,297,Original,1.9230842590332
2,479,Indexed,0.570058822631836
2,479,Original,1.92785263061523
2,56,Indexed,0.56910514831543
2,56,Original,5.40709495544434
2,587,Indexed,0.771999359130859
2,587,Original,2.01916694641113
5,471,Indexed,0.605106353759766
5,471,Original,2.0449161529541
2,84,Original,2.00104713439941
2,84,Indexed,0.589132308959961
1,42,Original,1.95813179016113
1,42,Indexed,0.665187835693359
1,60,Original,2.00510025024414
1,60,Indexed,0.650167465209961
1,37,Indexed,0.603914260864258
1,37,Original,2.34580039978027
4,41,Indexed,0.719070434570313
4,41,Original,1.9681453704834
5,292,Original,1.89495086669922
5,292,Indexed,0.570058822631836
4,191,Indexed,0.568866729736328
4,191,Original,1.85799598693848
3,137,Original,1.96099281311035
3,137,Indexed,0.583887100219727
2,529,Indexed,0.637054443359375
2,529,Original,1.89900398254395
4,6,Indexed,0.571012496948242
4,6,Original,1.8770694732666
4,394,Original,4.47797775268555
4,394,Indexed,0.861167907714844
1,412,Original,2.72607803344727
1,412,Indexed,0.624179840087891
3,196,Original,2.06303596496582
3,196,Indexed,0.613927841186523
1,221,Original,2.07781791687012
1,221,Indexed,0.602006912231445
5,89,Indexed,0.575065612792969
5,89,Original,1.98698043823242
1,26,Indexed,0.63014030456543
1,26,Original,1.9838809967041
2,227,Indexed,0.582218170166016
2,227,Original,1.92403793334961
3,73,Original,1.90496444702148
3,73,Indexed,0.565052032470703
5,136,Original,1.86491012573242
5,136,Indexed,0.58293342590332
5,384,Original,1.86800956726074
5,384,Indexed,0.539064407348633
3,277,Indexed,0.657081604003906
3,277,Original,1.87397003173828
3,209,Indexed,0.583887100219727
3,209,Original,1.87587738037109
5,39,Original,1.86300277709961
5,39,Indexed,0.552892684936523
3,201,Original,1.94096565246582
3,201,Indexed,2.99596786499023
2,246,Indexed,0.898122787475586
2,246,Original,2.79688835144043
4,581,Indexed,0.606060028076172
4,581,Original,2.03704833984375
5,567,Indexed,0.587940216064453
5,567,Original,2.04586982727051
3,394,Indexed,0.607013702392578
3,394,Original,2.02107429504395
4,31,Indexed,0.607967376708984
4,31,Original,1.99794769287109
