round,case,name,milliseconds
2,7,Strong,0.669956207275391
2,7,Gentle,0.601053237915039
2,7,Current,0.574111938476563
2,7,Strict,0.563144683837891
2,29,Gentle,0.555038452148438
2,29,Strict,0.577926635742188
2,29,Current,0.566005706787109
2,29,Strong,0.589847564697266
2,353,Current,0.684022903442383
2,353,Strict,0.689983367919922
2,353,Gentle,0.748157501220703
2,353,Strong,0.744104385375977
3,435,Strict,0.619173049926758
3,435,Gentle,0.564813613891602
3,435,Strong,4.1811466217041
3,435,Current,0.818967819213867
2,24,Strict,0.819921493530273
2,24,Gentle,0.615835189819336
2,24,Strong,0.611782073974609
2,24,Current,0.626087188720703
3,91,Strict,0.669002532958984
3,91,Current,0.643014907836914
3,91,Gentle,0.710964202880859
3,91,Strong,0.663995742797852
1,461,Gentle,0.72789192199707
1,461,Strict,0.700950622558594
1,461,Strong,0.677824020385742
1,461,Current,0.678062438964844
3,563,Gentle,0.576972961425781
3,563,Current,0.620126724243164
3,563,Strong,0.56004524230957
3,563,Strict,0.579833984375
2,26,Gentle,0.63014030456543
2,26,Current,0.637054443359375
2,26,Strong,0.632047653198242
2,26,Strict,0.623941421508789
1,260,Strong,0.641107559204102
1,260,Strict,0.586986541748047
1,260,Gentle,0.574827194213867
1,260,Current,0.576019287109375
2,133,Gentle,0.586986541748047
2,133,Current,0.59199333190918
2,133,Strict,0.611066818237305
2,133,Strong,0.61488151550293
3,188,Strong,0.615119934082031
3,188,Gentle,0.629901885986328
3,188,Current,0.627040863037109
3,188,Strict,0.582218170166016
1,280,Strict,0.583887100219727
1,280,Gentle,0.576972961425781
1,280,Current,0.572919845581055
1,280,Strong,0.58293342590332
2,194,Strict,0.603914260864258
2,194,Strong,0.58293342590332
2,194,Gentle,0.519037246704102
2,194,Current,0.545978546142578
2,300,Strong,0.539779663085938
2,300,Gentle,0.517129898071289
2,300,Strict,0.55384635925293
2,300,Current,0.557184219360352
2,420,Gentle,0.56004524230957
2,420,Strong,0.555992126464844
2,420,Strict,0.541210174560547
2,420,Current,0.5340576171875
3,595,Current,0.572919845581055
3,595,Strict,0.540971755981445
3,595,Gentle,0.551939010620117
3,595,Strong,0.538110733032227
1,579,Strong,0.544071197509766
1,579,Current,0.787973403930664
1,579,Gentle,0.734090805053711
1,579,Strict,0.663042068481445
1,162,Strict,0.587940216064453
1,162,Strong,0.557899475097656
1,162,Current,0.594139099121094
1,162,Gentle,0.552892684936523
2,292,Strong,0.565052032470703
2,292,Strict,0.571012496948242
2,292,Gentle,0.550031661987305
2,292,Current,0.536918640136719
2,386,Strong,0.575065612792969
2,386,Current,0.56004524230957
2,386,Strict,0.525951385498047
2,386,Gentle,0.533103942871094
1,395,Current,0.563144683837891
1,395,Gentle,0.532150268554688
1,395,Strict,0.53715705871582
1,395,Strong,0.596046447753906
3,153,Strict,0.589847564697266
3,153,Strong,0.561952590942383
3,153,Gentle,0.528812408447266
3,153,Current,0.531196594238281
3,302,Gentle,0.559806823730469
3,302,Current,0.55694580078125
3,302,Strict,0.622034072875977
3,302,Strong,0.64396858215332
3,500,Gentle,0.566959381103516
3,500,Strong,0.559091567993164
3,500,Strict,0.545024871826172
3,500,Current,0.528097152709961
2,81,Strong,0.554084777832031
2,81,Strict,0.571012496948242
2,81,Gentle,0.530004501342773
2,81,Current,0.617027282714844
1,321,Current,0.566005706787109
1,321,Strong,0.543117523193359
1,321,Gentle,0.61798095703125
1,321,Strict,0.54478645324707
3,515,Strong,0.828981399536133
3,515,Current,0.874042510986328
3,515,Strict,0.695943832397461
3,515,Gentle,0.646829605102539
3,393,Current,0.664949417114258
3,393,Strict,0.631093978881836
3,393,Gentle,0.613212585449219
3,393,Strong,0.642061233520508
2,217,Gentle,0.636816024780273
2,217,Current,0.633955001831055
2,217,Strong,0.607967376708984
2,217,Strict,0.566005706787109
3,418,Current,0.576019287109375
3,418,Strong,0.589132308959961
3,418,Gentle,0.581026077270508
3,418,Strict,0.646114349365234
3,48,Current,0.650882720947266
3,48,Strict,0.660181045532227
3,48,Strong,0.61798095703125
3,48,Gentle,0.628948211669922
3,401,Current,0.699996948242188
3,401,Gentle,0.689983367919922
3,401,Strong,0.677824020385742
3,401,Strict,0.609874725341797
3,398,Current,0.572919845581055
3,398,Strong,0.565767288208008
3,398,Strict,0.797033309936523
3,398,Gentle,0.654935836791992
1,272,Current,0.604152679443359
1,272,Gentle,0.581026077270508
1,272,Strict,0.666141510009766
1,272,Strong,0.624179840087891
1,154,Strict,0.705957412719727
1,154,Strong,0.693082809448242
1,154,Current,0.669002532958984
1,154,Gentle,0.665903091430664
3,327,Strict,0.583887100219727
3,327,Strong,0.563859939575195
3,327,Gentle,0.574827194213867
3,327,Current,0.567913055419922
1,177,Strong,0.549077987670898
1,177,Gentle,0.541925430297852
1,177,Strict,0.562906265258789
1,177,Current,0.557899475097656
3,23,Strong,0.641822814941406
3,23,Current,0.563859939575195
3,23,Gentle,0.558137893676758
3,23,Strict,0.559806823730469
3,561,Current,0.555038452148438
3,561,Strong,0.535011291503906
3,561,Strict,0.523090362548828
3,561,Gentle,0.575065612792969
3,453,Gentle,0.545024871826172
3,453,Strict,0.530004501342773
3,453,Current,0.563859939575195
3,453,Strong,0.520944595336914
3,388,Gentle,0.51116943359375
3,388,Strict,0.510215759277344
3,388,Strong,0.514030456542969
3,388,Current,0.607013702392578
3,326,Current,0.596046447753906
3,326,Strong,0.52189826965332
3,326,Strict,0.524997711181641
3,326,Gentle,0.533103942871094
1,578,Strong,0.536918640136719
1,578,Gentle,0.524044036865234
1,578,Current,0.524044036865234
1,578,Strict,0.524044036865234
2,451,Strict,0.535011291503906
2,451,Gentle,0.545024871826172
2,451,Current,0.554084777832031
2,451,Strong,0.554084777832031
3,2,Gentle,0.527143478393555
3,2,Strong,0.543117523193359
3,2,Current,0.538825988769531
3,2,Strict,0.639200210571289
2,295,Gentle,0.670909881591797
2,295,Current,0.5340576171875
2,295,Strong,0.523805618286133
2,295,Strict,0.545978546142578
3,103,Strict,0.571966171264648
3,103,Gentle,0.572919845581055
3,103,Current,0.550985336303711
3,103,Strong,0.547170639038086
3,499,Strong,0.545024871826172
3,499,Strict,0.614166259765625
3,499,Gentle,0.518083572387695
3,499,Current,0.531911849975586
1,510,Current,0.563144683837891
1,510,Strong,0.535011291503906
1,510,Strict,0.623941421508789
1,510,Gentle,0.566005706787109
3,168,Strict,0.524997711181641
3,168,Current,0.913143157958984
3,168,Strong,0.833988189697266
3,168,Gentle,0.697135925292969
