name,family,weight,cases,top1,top3,median_ms,p95_ms,prepared_mib,export_passed,qualified
Current,Current,0,600,106,164,0.848054885864258,1.22710466384888,215.513633728027,TRUE,FALSE
CE_control_0.1,CE_control,0.1,600,105,165,17.7285671234131,22.2890138626099,240.71533203125,TRUE,FALSE
CE_control_0.25,CE_control,0.25,600,102,167,17.7533626556396,21.8366026878357,240.71533203125,TRUE,FALSE
CE_control_0.5,CE_control,0.5,600,94,166,17.742395401001,24.0940570831299,240.71533203125,TRUE,FALSE
CE_control_1.0,CE_control,1,600,60,109,9.20307636260986,11.8104100227356,240.71533203125,TRUE,FALSE
Distill25_0.1,Distill25,0.1,600,102,166,17.8465843200684,21.9954967498779,240.71533203125,TRUE,FALSE
Distill25_0.25,Distill25,0.25,600,98,164,17.8449153900146,22.2556352615356,240.71533203125,TRUE,FALSE
Distill25_0.5,Distill25,0.5,600,91,155,17.706036567688,22.6228952407837,240.71533203125,TRUE,FALSE
Distill25_1.0,Distill25,1,600,60,108,9.28044319152832,11.7430210113525,240.71533203125,TRUE,FALSE
Distill50_0.1,Distill50,0.1,600,102,165,17.9014205932617,22.6611256599426,240.71533203125,TRUE,FALSE
Distill50_0.25,Distill50,0.25,600,95,162,17.8655385971069,22.9961395263672,240.71533203125,TRUE,FALSE
Distill50_0.5,Distill50,0.5,600,89,152,17.9075002670288,22.226870059967,240.71533203125,TRUE,FALSE
Distill50_1.0,Distill50,1,600,55,101,9.29701328277588,11.7261052131653,240.71533203125,TRUE,FALSE
