phase,alpha,epoch,training_loss
CE_control,0.0,1,6.49189289410909
CE_control,0.0,2,6.388980269432068
CE_control,0.0,3,6.2757405042648315
CE_control,0.0,4,6.191243966420491
CE_control,0.0,5,6.086434364318848
Distill25,0.25,1,12.342810471852621
Distill25,0.25,2,12.167268435160318
Distill25,0.25,3,12.020094712575277
Distill25,0.25,4,11.92394216855367
Distill25,0.25,5,11.816852728525797
Distill50,0.5,1,18.142027537027996
Distill50,0.5,2,17.745033899943035
Distill50,0.5,3,17.420005162556965
Distill50,0.5,4,17.1982585589091
Distill50,0.5,5,17.020378907521565
