name,round,case,milliseconds
Distill50_0.5,2,513,18.8741683959961
Distill50_1.0,2,513,8.45408439636231
Distill25_0.1,2,513,17.0319080352783
CE_control_1.0,2,513,9.0789794921875
CE_control_0.25,2,513,15.9521102905273
Distill25_0.5,2,513,16.0801410675049
CE_control_0.1,2,513,16.2980556488037
Distill25_0.25,2,513,16.589879989624
CE_control_0.5,2,513,16.6349411010742
Current,2,513,0.928878784179688
Distill50_0.1,2,513,18.0790424346924
Distill25_1.0,2,513,8.27789306640625
Distill50_0.25,2,513,17.7679061889648
Distill25_0.1,2,566,17.6000595092773
CE_control_0.1,2,566,16.855001449585
Current,2,566,1.12199783325195
Distill25_0.25,2,566,15.9730911254883
Distill25_0.5,2,566,16.7670249938965
CE_control_0.25,2,566,17.9369449615479
Distill25_1.0,2,566,8.84699821472168
CE_control_1.0,2,566,10.2319717407227
Distill50_0.1,2,566,17.7688598632813
Distill50_1.0,2,566,8.62407684326172
Distill50_0.5,2,566,17.7950859069824
Distill50_0.25,2,566,17.0538425445557
CE_control_0.5,2,566,16.9501304626465
CE_control_0.1,3,17,15.5260562896729
Distill25_1.0,3,17,9.04083251953125
Distill25_0.5,3,17,18.1081295013428
Distill25_0.25,3,17,24.4050025939941
Distill50_0.5,3,17,16.3390636444092
CE_control_0.5,3,17,15.2900218963623
Current,3,17,0.744104385375977
CE_control_0.25,3,17,14.8069858551025
Distill25_0.1,3,17,16.024112701416
CE_control_1.0,3,17,8.54897499084473
Distill50_0.1,3,17,17.5127983093262
Distill50_1.0,3,17,10.8189582824707
Distill50_0.25,3,17,15.03586769104
Distill50_0.25,3,260,19.9999809265137
Current,3,260,0.784873962402344
Distill50_1.0,3,260,11.725902557373
Distill25_1.0,3,260,10.8480453491211
CE_control_1.0,3,260,10.3747844696045
Distill25_0.5,3,260,20.7788944244385
Distill25_0.25,3,260,20.7529067993164
CE_control_0.25,3,260,20.5190181732178
Distill50_0.5,3,260,21.7189788818359
Distill50_0.1,3,260,21.6739177703857
CE_control_0.5,3,260,19.758939743042
Distill25_0.1,3,260,19.6840763092041
CE_control_0.1,3,260,21.7781066894531
CE_control_0.25,1,587,18.4149742126465
CE_control_1.0,1,587,8.47697257995606
Distill25_1.0,1,587,8.16607475280762
Distill25_0.1,1,587,16.909122467041
Current,1,587,0.910043716430664
CE_control_0.1,1,587,16.6280269622803
CE_control_0.5,1,587,16.7510509490967
Distill25_0.25,1,587,17.4369812011719
Distill50_1.0,1,587,8.5899829864502
Distill25_0.5,1,587,27.4479389190674
Distill50_0.5,1,587,15.9409046173096
Distill50_0.1,1,587,15.1729583740234
Distill50_0.25,1,587,14.7979259490967
Distill50_1.0,2,324,9.0789794921875
Distill25_0.5,2,324,17.6231861114502
CE_control_0.5,2,324,17.4710750579834
CE_control_0.25,2,324,19.3030834197998
Distill50_0.1,2,324,19.2289352416992
Distill50_0.25,2,324,18.5739994049072
Distill25_1.0,2,324,10.6499195098877
Distill25_0.1,2,324,19.2050933837891
Distill25_0.25,2,324,18.2540416717529
Current,2,324,0.802993774414063
CE_control_0.1,2,324,19.4981098175049
Distill50_0.5,2,324,20.0390815734863
CE_control_1.0,2,324,10.8771324157715
CE_control_1.0,2,537,7.89499282836914
Distill50_1.0,2,537,8.66317749023438
CE_control_0.5,2,537,17.3377990722656
Distill25_0.1,2,537,17.848014831543
Distill50_0.1,2,537,17.874002456665
Distill25_0.25,2,537,19.0348625183105
Distill25_0.5,2,537,18.0449485778809
CE_control_0.25,2,537,17.244815826416
Distill50_0.25,2,537,17.1511173248291
Distill25_1.0,2,537,8.43286514282227
CE_control_0.1,2,537,17.7850723266602
Distill50_0.5,2,537,18.5818672180176
Current,2,537,0.928163528442383
Distill25_0.25,2,238,18.172025680542
CE_control_1.0,2,238,17.1170234680176
Distill25_0.1,2,238,18.280029296875
CE_control_0.1,2,238,16.5739059448242
Distill50_0.5,2,238,16.6828632354736
CE_control_0.5,2,238,16.1430835723877
