candidate,source,cases,top1,top3,synthetic_choice_accuracy,mrr_at3,shortlist_recall
base64,blogs,300,0.25333333333333335,0.36,0.8533333333333334,0.3016666666666667,0.72
base64,news,300,0.2733333333333333,0.3933333333333333,0.8933333333333333,0.3288888888888889,0.72
base64,twitter,300,0.15,0.27,0.7766666666666666,0.20166666666666666,0.6533333333333333
base256,blogs,300,0.25333333333333335,0.36,0.8533333333333334,0.3016666666666667,0.7766666666666666
base256,news,300,0.2733333333333333,0.3933333333333333,0.8933333333333333,0.3288888888888889,0.7766666666666666
base256,twitter,300,0.15,0.27,0.7766666666666666,0.20166666666666666,0.73
local256,blogs,300,0.28,0.3933333333333333,0.8866666666666667,0.3288888888888889,0.7866666666666666
local256,news,300,0.27666666666666667,0.42,0.9033333333333333,0.3411111111111111,0.7933333333333333
local256,twitter,300,0.17333333333333334,0.2733333333333333,0.78,0.21833333333333332,0.7433333333333333
augmented256,blogs,300,0.2733333333333333,0.38333333333333336,0.8833333333333333,0.3227777777777778,0.7866666666666666
augmented256,news,300,0.2733333333333333,0.41333333333333333,0.9033333333333333,0.33722222222222226,0.7966666666666666
augmented256,twitter,300,0.17333333333333334,0.27,0.7833333333333333,0.21666666666666667,0.7566666666666667
