variant,source,line_hash,actual,first,second,third,correct_first,correct_top3,covered,raw_shortlist_share,calibrated_first_probability
baseline,blogs,3db89fb28ea319f0f662bfe9e65936e49aec55de5ead6faaca922d79c214b743,long,to,the,this,False,False,False,0.0572849095137798,0.050039831229331797
baseline,blogs,7c951f22b432cc88c7b244292ec88242b6f4d2ff85cbfa5ed73b001e5f4920dc,to,to,too,and,True,True,True,0.9609752707655571,0.9225770132196272
baseline,blogs,aa2c1edbe6aacd2e6bb22c7c0ca8d321e60145143b9d13dfe1b48962b925d75a,our,our,the,a,True,True,True,0.17451636290319847,0.13968870962820565
baseline,blogs,586af00e3f93a0dcef7b6682a95245fa6fd7a127979654c60bb7c94f6f98e8ef,based,a,an,well,False,False,True,0.34975751170265623,0.2739443022295155
baseline,blogs,9d79a23829b225eb4bd79b04ac8c2af25349b5b6414a0d599965e7bde418c96d,the,the,your,of,True,True,True,0.59050164519141,0.47893628795674204
baseline,blogs,23a166dc86ee395cfc2e526cd2434e2f311108df6a712694d69fedb1cf4830d9,gmt,and,today,if,False,False,False,0.16433224657004097,0.13201725451055313
baseline,blogs,d8c9e2adaed5b8f542d02ff6b4bb749b282460ca58214a618fc4313bed21ff07,juices,process,atmosphere,and,False,False,True,0.08091695676286847,0.06857252186931474
baseline,blogs,46376e08b10e48ed41083cdeeef386064d03a50c24690c18dbb48ab551dcfee5,or,and,or,etc,False,True,True,0.40756398762282253,0.32026977849970767
baseline,blogs,9fa29148ee7390a9cb784c1de1cca0cc7122b025d1e48995c53b848efb85558c,if,if,what,how,True,True,True,0.4445322993494837,0.35070059249922586
baseline,blogs,8e8be39af3f33d58fd49c75680c61dbb85626abfc2b5da73b00e5562b32efc3b,the,the,about,that,True,True,True,0.1752653017488553,0.1402528167432046
baseline,blogs,a63f0a4b2c41f7581773b1a601b1f29ea1e612a5a3707117a408115cb93fd9d1,delusion,we,then,what,False,False,False,0.14443051772212537,0.11701066386844004
baseline,blogs,918972b1cd90e15e7da640cda52da89d547221055625f7830992444c78cd82d2,it's,of,we,the,False,False,False,0.25399875007411804,0.19979202123099307
baseline,blogs,6c86e3a5fe7c47f99880b40aa6b6b52fe8736b47e691e2a32b6c2f45188106ad,we,to,if,for,False,False,True,0.6804854082451501,0.566551855548864
baseline,blogs,2a392843d5bcc7cae4c616bdb002a39574c0fc50cb6ab0c6ce16e5b8d0bc287e,these,the,us,these,False,True,True,0.3668955799659095,0.28753365876271497
