source,line_hash,target,arm,canonical_tokens,target_in_training_vocabulary,target_present,original_rank,diagnostic_rank,category,target_score,third_other_word,third_other_score,margin_to_top3,candidate_count,diagnostic_candidate_count,fp32_checked,fp32_diagnostic_rank,fp32_margin
blogs,f27ea2d29c7104c919b3db28c6665a75f06509e20abfce2a096f6bd7fdee17a5,back,baseline,1,True,True,5,5,covered_below_top3,-3.4468841552734375,out,-2.9973907470703125,-0.449493408203125,255,255,False,,
blogs,f27ea2d29c7104c919b3db28c6665a75f06509e20abfce2a096f6bd7fdee17a5,back,beam16,1,True,True,5,5,covered_below_top3,-3.4468841552734375,out,-2.9973907470703125,-0.449493408203125,383,383,False,,
blogs,2e33f63c7626dbc369773847be674268e62ff845811d0f1a707abb82d030fda8,movie,baseline,1,True,True,59,59,covered_below_top3,-7.215431213378906,and,-2.7764625549316406,-4.438968658447266,250,250,False,,
blogs,2e33f63c7626dbc369773847be674268e62ff845811d0f1a707abb82d030fda8,movie,beam16,1,True,True,65,65,covered_below_top3,-7.215431213378906,and,-2.7764625549316406,-4.438968658447266,378,378,False,,
blogs,3a5c23d72140c92c25f4fbd08b9ac0feecee320dc88c6ee630121fbb1dc7ba3f,you,baseline,1,True,True,1,1,already_top3,-0.5283241271972656,u,-3.7141456604003906,3.185821533203125,258,258,False,,
blogs,3a5c23d72140c92c25f4fbd08b9ac0feecee320dc88c6ee630121fbb1dc7ba3f,you,beam16,1,True,True,1,1,already_top3,-0.5283241271972656,u,-3.7141456604003906,3.185821533203125,383,383,False,,
blogs,150f418fb152be9cb918f6a5cddb03c13ba3de68e7a2ad474b9d73f9888b10db,this,baseline,1,True,True,5,5,covered_below_top3,-3.7588539123535156,the,-2.2272605895996094,-1.5315933227539062,259,259,False,,
blogs,150f418fb152be9cb918f6a5cddb03c13ba3de68e7a2ad474b9d73f9888b10db,this,beam16,1,True,True,5,5,covered_below_top3,-3.7588539123535156,the,-2.2272605895996094,-1.5315933227539062,386,386,False,,
blogs,379382c7ed6229fb6a69c6e7589b03d3240417a25dc4be8d5bfa25a7d0e6a114,with,baseline,1,True,True,1,1,already_top3,-0.27831268310546875,in,-4.029232025146484,3.7509193420410156,257,257,False,,
blogs,379382c7ed6229fb6a69c6e7589b03d3240417a25dc4be8d5bfa25a7d0e6a114,with,beam16,1,True,True,1,1,already_top3,-0.27831268310546875,in,-4.029232025146484,3.7509193420410156,385,385,False,,
blogs,1a3d0e172a1fcc90d98522daac9c53c1add1ae3f5e1b59bfafdbaf7f15ea7e13,or,baseline,1,True,True,4,4,covered_below_top3,-3.420330047607422,in,-3.138458251953125,-0.2818717956542969,257,257,False,,
blogs,1a3d0e172a1fcc90d98522daac9c53c1add1ae3f5e1b59bfafdbaf7f15ea7e13,or,beam16,1,True,True,4,4,covered_below_top3,-3.420330047607422,in,-3.138458251953125,-0.2818717956542969,385,385,False,,
blogs,b1bdb15784994402f4445749c82f4d5fa4972fe0ae3f775cd198f3db707ed5c7,vendor,baseline,1,True,True,212,212,covered_below_top3,-7.746305465698242,part,-3.8259639739990234,-3.9203414916992188,257,257,False,,
blogs,b1bdb15784994402f4445749c82f4d5fa4972fe0ae3f775cd198f3db707ed5c7,vendor,beam16,1,True,True,212,212,covered_below_top3,-7.746305465698242,part,-3.8259639739990234,-3.9203414916992188,385,385,False,,
blogs,75ec673b2b31cde02d81eb99e409f3c60f43ed1afdb8d3477a01196e43e64dc7,there,baseline,1,True,True,8,8,covered_below_top3,-3.585308074951172,i'm,-2.779376983642578,-0.8059310913085938,257,257,False,,
