candidate,dimension,group,cases,top1_count,top3_count,covered_count,present_outside_top3_count,target_absent_count,top3,coverage,top3_given_covered,synthetic_choice_correct
base64,source,blogs,200,49,73,142,69,58,0.365,0.71,0.5140845070422535,177
base64,source,news,200,47,73,142,69,58,0.365,0.71,0.5140845070422535,174
base64,source,twitter,200,41,65,127,62,73,0.325,0.635,0.5118110236220472,158
base64,context words,1-3,158,28,44,91,47,67,0.27848101265822783,0.5759493670886076,0.4835164835164835,118
base64,context words,4-9,150,35,51,104,53,46,0.34,0.6933333333333334,0.49038461538461536,123
base64,context words,10+,292,74,116,216,100,76,0.3972602739726027,0.7397260273972602,0.5370370370370371,268
base64,target characters,1-3,220,84,121,198,77,22,0.55,0.9,0.6111111111111112,198
base64,target characters,4-6,250,43,65,159,94,91,0.26,0.636,0.4088050314465409,205
base64,target characters,7+,130,10,25,54,29,76,0.19230769230769232,0.4153846153846154,0.46296296296296297,106
base256,source,blogs,200,49,73,160,87,40,0.365,0.8,0.45625,177
base256,source,news,200,47,73,154,81,46,0.365,0.77,0.474025974025974,174
base256,source,twitter,200,41,65,149,84,51,0.325,0.745,0.436241610738255,158
base256,context words,1-3,158,28,44,108,64,50,0.27848101265822783,0.6835443037974683,0.4074074074074074,118
base256,context words,4-9,150,35,51,116,65,34,0.34,0.7733333333333333,0.4396551724137931,123
base256,context words,10+,292,74,116,239,123,53,0.3972602739726027,0.8184931506849316,0.48535564853556484,268
base256,target characters,1-3,220,84,121,207,86,13,0.55,0.9409090909090909,0.5845410628019324,198
base256,target characters,4-6,250,43,65,184,119,66,0.26,0.736,0.3532608695652174,205
base256,target characters,7+,130,10,25,72,47,58,0.19230769230769232,0.5538461538461539,0.3472222222222222,106
local256,source,blogs,200,49,74,160,86,40,0.37,0.8,0.4625,180
local256,source,news,200,52,82,157,75,43,0.41,0.785,0.5222929936305732,178
local256,source,twitter,200,48,66,150,84,50,0.33,0.75,0.44,162
local256,context words,1-3,158,30,45,108,63,50,0.2848101265822785,0.6835443037974683,0.4166666666666667,124
local256,context words,4-9,150,39,54,121,67,29,0.36,0.8066666666666666,0.4462809917355372,127
local256,context words,10+,292,80,123,238,115,54,0.4212328767123288,0.815068493150685,0.5168067226890757,269
local256,target characters,1-3,220,86,123,209,86,11,0.5590909090909091,0.95,0.5885167464114832,198
local256,target characters,4-6,250,47,72,189,117,61,0.288,0.756,0.38095238095238093,212
local256,target characters,7+,130,16,27,69,42,61,0.2076923076923077,0.5307692307692308,0.391304347826087,110
augmented256,source,blogs,200,49,73,162,89,38,0.365,0.81,0.4506172839506173,181
augmented256,source,news,200,50,79,159,80,41,0.395,0.795,0.4968553459119497,179
augmented256,source,twitter,200,48,65,151,86,49,0.325,0.755,0.4304635761589404,162
augmented256,context words,1-3,158,30,44,109,65,49,0.27848101265822783,0.689873417721519,0.4036697247706422,124
augmented256,context words,4-9,150,37,51,121,70,29,0.34,0.8066666666666666,0.4214876033057851,127
augmented256,context words,10+,292,80,122,242,120,50,0.4178082191780822,0.8287671232876712,0.5041322314049587,271
augmented256,target characters,1-3,220,88,123,209,86,11,0.5590909090909091,0.95,0.5885167464114832,198
augmented256,target characters,4-6,250,45,69,191,122,59,0.276,0.764,0.3612565445026178,213
augmented256,target characters,7+,130,14,25,72,47,58,0.19230769230769232,0.5538461538461539,0.3472222222222222,111
